舰娘当前计分：
凯旋:1
马拉尼:3
文森斯:0
爱宕:4
莱比锡:9
神通:3
齐柏林伯爵:3
克利夫兰:28
沙恩霍斯特:0
埃克塞特:1
U47:0
============================================
楼层	用户id	评论内容
653	42178901	爱宕 齐柏林 神通
654	42885933	莱比锡 马拉尼 凯旋
655	6107203	神通，大狗，小鱼鱼！
656	601906	爱宕 莱比锡 神通
657	9099861	爱大狗，神通
658	43223064	马拉尼<br/>莱比锡<br/>神通
659	42859321	神通 凯旋 克爹
660	35880032	凯旋<br/>神通
661	42625164	克爹zsbd
662	40649299	憎恨怪，克爹，u47
663	60209216	凯旋，克爹，齐柏林
664	41720454	爱宕 齐柏林 埃克塞特
665	41374262	克爹 马拉尼 文森斯
666	43082621	凯旋zsbd
667	2306931	凯旋，神通，克利夫兰
668	43367593	爱宕 齐柏林 马拉尼
669	39816517	克利夫兰   齐柏林伯爵   神通
670	160693	莱比锡 克利夫兰 U47
671	41670910	爱宕，齐柏林，克利夫兰
672	42908923	齐柏林伯爵，莱比锡，克利夫兰<br/><br/>[del]穿泳装的两位已经被抓走啦[/del]
673	39110753	克爹，莱比锡[s:ac:goodjob]
674	5379190	爱宕。
675	38647230	780,莱比锡，凯旋
676	42819326	莱比锡。。。
677	41534845	凯旋  齐柏林 莱比锡
678	40763146	爱宕 齐柏林 克利夫兰
679	19594820	克爹，爱宕，神通
680	60050161	克利夫兰，莱比锡，凯旋
681	40434054	克爹，神通，莱比锡
682	42134541	爱宕 克爹
683	42946691	凯旋<br/>U-47<br/>克爹<br/>这组好犹豫啊[s:a2:哭]
684	38467761	克利夫兰 神通 凯旋
686	42024975	爱宕 神通 U47
687	60240747	克利夫兰，爱宕
688	42072705	克利夫兰<br/>神通<br/>U47
689	5059160	克利夫兰，神通，莱比锡[s:ac:心]
690	43035856	凯旋和克利夫兰~
691	34498606	爱宕，神通，莱比锡
692	38783720	克爹 zsbd
693	42865780	克爹，u47，凯旋
694	42954474	神通zsbd
695	26040709	爱宕、神通、莱比锡
696	42346296	凯旋，爱宕。
697	39094081	爱宕<br/>神通[s:ac:羞]
698	14672645	爱宕！克爹！
699	42541959	爱宕，神通，齐柏林
700	39695463	爱宕，克利夫兰，齐柏林伯爵
701	14738080	克利夫兰 780 爱大狗
702	41548420	爱宕，神通，克利夫兰
703	42629407	克爹，zsbd
704	24248162	克利夫兰<br/>凯旋<br/>莱比锡
705	43343886	47，克爹，莱比锡
706	43360729	U47 神通 莱比锡
707	27054574	凯旋  莱比锡
708	60221347	爱宕 齐柏 神通
709	993663	爱宕<br/>齐柏林<br/>神通
710	36820212	克爹 凯旋 马拉尼
711	250399	爱宕 莱比锡 神通
712	41545589	克爹，凯旋，鱼鱼
713	41733593	克利夫兰 齐柏林 莱比锡
714	36779882	克爹，爱宕，齐柏林
715	42772833	爱宕  克爹  神通。
716	42686504	莱比锡  克利夫兰  马拉尼
717	60018577	克利夫兰，莱比锡
718	42939277	爱宕 齐柏林 克爹
719	41762104	[b]爱宕！！！！齐柏林！！！！[/b]  附带我写的应援贴[url]/read.php?tid=16689120[/url]
720	38835097	神通 爱大狗 鱼鱼
721	42943693	[color=red][size=150%]U47 克利夫兰 齐柏林[/size][/color]<br/><br/>[s:ac:goodjob]
722	38448023	神通，克利夫兰 马拉尼
723	43190105	克爹，爱宕，神通
724	35388199	爱宕 克爹 莱比锡
725	41605814	爱宕，克利夫兰，u47
726	42841884	克利夫兰，莱比锡，u47
727	42398211	爱宕，神通，莱比锡
728	39826030	莱比锡，神通，凯旋
729	39366606	克爹，文森斯，莱比锡
730	1852553	神通 马拉尼
731	43139194	爱宕，齐柏林，马拉尼
732	39540060	凯旋、神通、u47
733	42942385	神通 莱比锡 U47
734	43105387	克利夫兰！！！！！
735	39812295	爱宕，克爹，神通
736	42066943	神通 ， U47 ， 爱宕
737	40651231	U47ZSBD
738	23284966	齐柏林！！！！
739	19761262	克爹，莱比锡，艾克赛特
740	8981765	大狗 780
741	40504546	爱宕 神通
742	11672432	爱宕 神通 埃克塞特
743	42868637	神通，克利夫兰，U47
744	42139324	克爹，47
745	38669535	单推爱宕
746	40699886	克利夫兰  马拉尼   文森斯
747	42501063	克爹 神通 u47
748	60018228	莱比锡 神通 u47
749	42284217	u47 780
750	42423001	神通 爹
751	42736172	克爹，神通，鱼鱼
752	43054800	爱宕！780！爹！
753	38983570	克爹，780，爱宕
754	60089083	克利夫兰，爱宕，齐柏林
755	10357013	爱宕 神通！
756	60166868	单推克爹！
757	43347652	克利夫兰，爱宕，神通
758	42347126	爱宕 克利夫兰 马拉尼
760	42949404	莱比锡<br/>马拉尼
761	38200090	爱宕，780，莱比锡
763	60001248	神通/爱宕/克爹
764	43221815	780 克爹 u47
765	42762853	神通 克利夫兰
766	6300597	神通   [del]不知道在哪就会淘汰[/del][s:ac:哭笑]
767	34493074	爱宕齐柏林<br/>这组真是神仙打架……[s:ac:呆]
768	26265617	齐柏林伯爵  爱宕
769	41688081	单推神通
770	14816297	爱宕，克利夫兰，神通
771	35072051	马拉尼   克爹   神通
772	23393446	克爹<br/>神通
773	42136350	克爹 克爹 克爹 [s:ac:上]
774	42736079	爱宕、齐柏林、凯旋
775	40746774	爱宕 小鱼鱼
776	3280052	?爱宕 凯旋
777	42200716	克爹，爱宕，神通
778	36758247	神通，马拉尼
779	41267214	爱大狗，齐柏林，饺子
780	41725894	爹 爹 爹[s:ac:goodjob][s:ac:goodjob]
781	42467307	凯旋，埃克塞特，U47
782	41230821	u47    zsbd
783	42338571	大狗克爹马拉尼
784	39175729	爱宕，克爹，神通
785	42502886	克爹<br/>神通<br/>爱宕
786	60093477	爱菪 神通 马拉尼[s:ac:goodjob]
787	41027463	克爹，莱比锡，犬
788	42189013	爱宕 780
789	35591340	莱比锡 克利夫兰
790	60166801	神通！爱宕！
791	40087949	爱宕，齐柏林，神通
792	8752572	克爹<br/>爱大狗<br/>神通
793	41480915	大狗 神通 马拉尼
794	7419314	齐柏林伯爵！
795	38060832	爱宕，莱比锡，凯旋
796	25743620	爱宕，克爹，神通
797	33717663	莱比锡<br/>克爹
798	42324014	爱宕！
799	60011815	爱宕 齐柏林伯爵 神通
800	60238461	U47 齐柏林 爱大狗
801	60154712	凯旋 神通 克利夫兰
802	41396086	齐柏林，莱比锡(的屁股，赞)，U47(我按下这个钮，对面的人形肯定会死)
803	9992454	克爹克爹克爹 很重要所以说三遍
804	6787146	爱宕<br/>神通<br/>克利夫兰
805	42694955	看到中间那个穿西装的了没？那是我老婆，呸，那是我爹<br/>克爹天下第一
806	9411662	莱比锡 文森斯
807	60030277	齐柏林，凯旋，埃克塞特
808	41220470	爱宕 凯旋 U47
809	40765892	爱宕 齐柏林
810	18903714	爱宕，克爹，神通
811	38555755	爱宕  齐柏林  神通
812	42733976	克爹！！！
813	42772936	爱宕，莱比锡，克利夫兰
814	24744599	爱宕 马拉尼 文森斯
815	42543802	单推克爹 冲啊！！！！！[s:a2:干杯]
816	2482782	克利夫兰  only
817	38806399	爱宕 克爹 47
818	34494292	爱宕<br/>齐柏林伯爵<br/>神通
819	43052129	克爹 大狗
820	364074	爱宕  莱比锡  克爹
821	41573657	爱宕~<br/>神通~<br/>齐柏林伯爵~
822	6630963	马拉尼<br/>莱比锡
823	42447433	爱宕，克爹，凯旋
824	39847865	爱宕 克利夫兰 神通
825	15177756	爱宕<br/>莱比锡<br/>克利夫兰
826	7908387	齐柏林伯爵 克利夫兰 U47
827	42195074	单推克爹！
828	43012954	单推爱宕
829	41472303	克利夫兰，文森斯，U47
830	41088624	凯旋 神通 爱宕
831	40454741	爱宕 克利夫兰 马拉尼
832	60178077	当然是 克爹
833	6246942	爱宕，克爹。
834	39037071	爱宕zsbd
835	40817449	爱宕<br/>780<br/>克爹
837	42862530	克爹，爱宕，齐柏林
838	41681589	爱宕 克利夫兰
839	42890031	爱宕[s:ac:goodjob]
840	38371246	爱宕！！！
841	38275216	克利夫兰 大狗 鱼鱼
842	25974494	克利夫兰zs
843	42941363	克利夫兰<br/>爱宕<br/>神通
844	36737557	神通 爱宕 齐柏林
845	43146202	神通 克爹
846	42940950	爱宕！！！！
847	42836996	爱宕，莱比锡，神通
848	42108259	爹，u47zsbd
849	42151277	U47凑长度
850	40089920	克爹、莱比锡、文森斯
851	42565307	爱宕，克利夫兰，神通
852	42931204	爱宕 克利夫兰 神通
853	41727564	神通        zsbd
854	60217638	爱宕 克利夫兰 U47
855	41571703	爱宕吧
857	38460303	爱宕 克利夫兰 马拉尼
858	42499521	爱宕，齐柏林
859	33742372	克爹<br/>zsbd
860	42132893	爱宕 神通
861	10674972	克利夫兰！<br/>爱宕！
862	25384132	单推克利夫兰
863	43131190	克爹，大狗，神通
865	24151086	爱宕，神通，齐柏林
866	43035871	神通 爱宕 凯旋
868	34355167	爱宕，克爹，神通
869	39611186	莱比锡 克爹 U47
870	7078443	凯旋<br/>u47
871	42569553	单推爱宕
872	9226701	克爹，大狗，u47[s:ac:闪光]
873	41537321	克利夫兰，神通
874	43036254	U47,爱宕，780
875	60035132	u47 zsbd
876	60028378	凯旋<br/>克利夫兰<br/>U47
877	42138997	克爹  u47
878	12427282	克利夫兰 神通 U47
879	35054530	爱宕 克利夫兰 神通
880	34582871	克爹[s:ac:心]
881	43120406	克利夫兰，爱宕
882	8043429	凯旋<br/>莱比锡<br/>克利夫兰
883	648047	克爹<br/>凯旋<br/>马拉尼
884	42386897	爱宕<br/>这一组爱宕和克里夫兰最有竞争力
885	42517624	神通，克爹！
886	60187379	克爹！！！！<br/>神通 快快和我回家吧<br/>爱宕
887	42182989	爱宕，神通，齐柏林伯爵
888	42103484	鱼鱼 克爹 zsbd
889	40425835	爱宕，齐柏林，马拉尼
890	25898560	爱宕 克利夫兰 神通
891	42539709	齐柏林 神通 U47
892	41405647	神通 爱宕 克利夫兰
893	60028396	爱宕 克爹 47
894	20447131	文森斯<br/>神通<br/>克利夫兰
895	39507817	克爹  文森斯  凯旋
896	43092944	克利夫兰<br/>U47
897	40590260	爱宕 齐柏林 克利夫兰
898	43351090	爱大狗 凯旋 克爹
899	42929410	单推克爹
900	42222784	780！克利夫兰！神通！
901	464171	爱宕<br/>马拉尼
902	7962944	克爹 齐柏林 爱宕
903	42083380	爱宕，克利夫兰，齐柏林
904	41158136	克利夫兰 莱比锡
905	42162373	克爹 凯旋 鱼鱼
906	41505826	克利夫兰，莱比锡，神通
907	42097806	单推爱宕！！
908	42069892	爱宕 神通 齐柏林伯爵
909	38406606	爱宕 克爹 凯旋
910	42975585	凯旋<br/>神通<br/>齐柏林伯爵
911	42794541	克爹！！！
912	16638	爱宕<br/>齐柏林伯爵<br/>克利夫兰
913	40733082	克爹，爱宕，鱼鱼
914	42382369	爱宕 U47 莱比锡
915	4593159	爱宕 马拉尼 神通
916	41770177	780、神通、u47
917	10393451	爱宕 齐柏林 克爹
918	42741172	凯旋 克利夫兰 u47
919	42738641	齐柏林伯爵<br/>克利夫兰<br/>埃克塞特
920	34382354	爱宕.<br/>紫薯紫薯
921	41569353	神通 克爹
922	40613702	神通，克利夫兰，齐柏林伯爵
923	215218	爱宕<br/>克利夫兰<br/>齐柏林伯爵
924	97579	克利夫兰 文森斯 凯旋
925	41812006	马拉尼 克利夫兰u47
926	466720	爱宕  克利夫兰！！！
927	43330484	克爹<br/>莱比锡<br/>u47
928	38418001	克利夫兰天下第一！[s:ac:计划通]
929	42253134	克爹 莱比锡 U47
930	619204	爱宕<br/>莱比锡<br/>爹
931	41607710	齐柏林 U47
932	23175546	爱宕 莱比锡 神通
933	20372151	齐柏林 神通 克利夫兰
934	42307471	莱比锡，克爹，神通！！
935	37680959	爱宕 ，埃克塞特
936	40961361	神通，爱宕，齐柏林
937	37948299	爱宕<br/>神通<br/>U47
938	39747360	爱宕<br/>莱比锡<br/>克利夫兰
939	55960	凯旋<br/>爱宕<br/>克里夫兰
940	60091876	爱宕，齐柏林伯爵，马拉尼！
941	41622919	爱宕<br/>齐柏林伯爵<br/>克利夫兰<br/>老婆我来啦[s:ac:心]
942	41099330	克爹 神通
943	14023452	克利夫兰 zsbd
944	42687431	爱宕冲冲冲[s:ac:喘]
946	42692027	莱比锡 神通 克爹
947	40889599	凯旋<br/>齐柏林伯爵<br/>克利夫兰
948	40949274	克利夫兰，齐柏林，爱宕
949	42002007	神通  克利夫兰  凯旋
950	42385115	爱宕 神通 克利夫兰
951	43078500	爱宕老婆
952	42389524	齐柏林伯爵<br/>克利夫兰<br/>U47
953	19172644	爱宕 神通 齐柏林
954	41492009	爱宕！！！！！！！
955	42567373	爱宕<br/>神通<br/>U47
956	42641657	神通 克利夫兰 U47
957	36706226	齐柏林 莱比锡 克利夫兰
958	42145743	爱宕 克利夫兰 神通
959	40847409	克爹 神通  爱大狗
960	42947737	克利夫兰 神通 爱宕
961	42773117	克利夫兰 爱宕 马拉尼
962	60161821	爱宕 神通 克利夫兰
963	40653066	780伯爵
964	839047	爱宕 [s:ac:blink][s:ac:blink]
965	42751844	爱宕[s:ac:心]
966	42371639	克利夫兰 莱比锡 凯旋
967	8784010	爱宕 神通 马拉尼
968	6212707	克爹 神通 憎恨怪
969	41433447	爱宕！克爹！
970	15120432	克利夫兰 无 无
971	993103	爱宕、马拉尼、文森斯
972	19233483	神通，文森斯
973	41398519	克爹 鱼鱼 憎恨怪[img]./mon_201902/16/-mjkdpQ5-4rhfZdT1kS4z-46.gif[/img]
974	42478106	爱宕 齐柏林 U47
975	41332674	爱宕zsbd
976	20129519	神通 克利夫兰 莱比锡
977	16942553	凯旋，神通，克利夫兰
979	40521892	莱比锡  克爹  神通
980	34632522	爱宕 鱼鱼 克利夫兰
981	43309675	爱大狗，她来了
982	315301	马拉尼   埃克赛特  爱宕
983	39339046	大狗，齐柏林，克爹
984	38328967	克爹 神通
985	41529755	齐柏林伯爵 神通 U47
986	39839987	克爹、齐柏林、爱宕
988	3364006	神通  zsbd
989	25633227	齐柏林 U47 莱比锡
990	42933015	莱比锡，克利夫兰，u47
991	-1	克爹 u47 780[s:ac:心]
992	43226445	神通 爱宕  克利夫兰
993	40692430	克爹凯旋[img]./mon_201902/16/-mjkdpQ5-hh0dZdT1kS4j-4j.gif[/img]
994	42202061	克爹 凯旋
995	39227662	爱宕，埃克塞特，凯旋
996	7752526	爱宕，莱比锡，文森斯
997	40532324	齐柏林伯爵 神通 凯旋
998	40687289	爱宕 克爹 u47
999	666413	爱宕 齐柏林 神通
1000	41709251	爱宕 莱比锡 克爹
1002	41886084	克爹(点头)
1003	43278776	克利夫兰，凯旋，神通
1004	42698335	爱宕 莱比锡 克利夫兰
1005	38170972	齐柏林 克利夫兰 沙恩霍斯特
1006	1371967	爱宕 齐柏林 U47
1007	42637190	克爹 神通 u47
1008	60148712	克爹天下第一(海妈是天)！[s:ac:上]
1009	42722552	克利夫兰 爱宕 马拉尼
1010	60228136	克利夫兰，莱比锡！
1011	41796926	克利夫兰 埃克塞特 莱比锡
1012	13166532	克爹 大狗
1013	41253381	神通  神通 神通
1014	41328109	克爹 爱宕 780
1015	60122670	爱宕，齐柏林，u47
1016	43338246	爱宕，凯旋，克利夫兰
1017	60029413	克爹 爱宕 莱比锡
1018	39305515	文森斯紫薯布丁
1019	14093042	凯旋克爹u47
1020	19185461	[s:ac:哭笑]克爹
1021	60205203	莱比锡，凯旋，克利夫兰
1022	41757472	克爹，文森斯
1023	41760097	神通 克利夫兰 u47
1024	40871972	凯旋 克利夫兰 神通
1025	38482849	爱宕，哦吼
1026	39486766	爱宕<br/>克爹
1027	39333919	凯旋<br/>爱宕<br/>克利夫兰
1028	42950130	鱼鱼 克爹
1030	14340036	莱比锡 神通 U47
1031	16537173	爱宕 齐柏林 u47
1032	60006825	神通 克爹 U47
1033	12864034	克爹啊！！！ 加油啊！！！
1034	39010053	鱼鱼 克爹 神通
1035	41605423	U47,爱宕，克爹
1036	11140161	克里夫兰 神通 .zsbd
1037	41162633	克爹 神通 莱比锡
1038	4961097	神通 爱宕 文森斯[s:ac:goodjob]
1039	618720	爱宕<br/>莱比锡<br/>神通
1040	16220985	齐柏林伯爵<br/><br/>克利夫兰<br/><br/>神通
1041	60238900	爱宕！！！！
1043	42191323	爱宕 齐柏林 u47
1044	42549045	克利夫兰，神通，莱比锡
1045	43018510	爱宕 齐柏林 神通！
1046	41096096	爱宕 神通
1047	43116683	克利夫兰，u47，爱宕
1048	7995519	克爹爱磐神通
1049	39818277	神通zsbd
1050	41553535	爱宕，克爹，zsbd
1051	40510451	凯旋 马拉尼 齐柏林伯爵
1052	60215431	爱宕，神通，齐柏林
1053	42433779	爱宕，780，凯旋！
1054	25916190	爱宕，齐柏林伯爵，
1055	33430920	克爹，u47,神通
1056	32481657	齐柏林伯爵、爱宕、U47
1057	1101281	爱宕，U47，神通
1058	60215432	克爹 神通 爱宕
1059	39580815	神通爱宕 zsbd
1060	42049283	克爹，神通，u47
1061	42480311	[b]神通 齐柏林 U47[/b]
1062	42979244	神通 克爹[img]./mon_201902/16/-mjkdpQ5-ijtjK1jToS3w-3w.png[/img]
1063	821986	马拉尼<br/><br/>爱宕<br/><br/>神通
1064	41291440	爱宕 神通 克利夫兰
1065	41688980	爱宕 齐柏林 克爹
1066	33558051	爱宕 齐柏林伯爵 U47
1067	25746545	齐柏林、莱比锡、爱宕
1068	35350817	这组好可怕<br/>爱宕<br/>神通<br/>u47
1069	150288	爱宕 神通
1070	38368857	u47 克利夫兰 爱宕
1072	42940779	克爹，780，莱比锡
1073	41582291	克利夫兰 爱宕
1074	60018390	克利夫兰 马拉尼 爱宕
1075	41627525	克爹，神通，U47
1076	42724314	爹！！！！！！！！爹爹冲啊！！！
1078	42878252	爱宕，莱比锡
1079	43263024	凯旋，神通，爹
1080	26502907	爱宕  780  爹
1081	42684307	克利夫兰 神通 爱宕
1082	60015753	克利夫兰 神通 文森斯
1083	42652297	克爹，U47
1084	34245554	克利夫兰 神通 莱比锡
1085	60094353	爱宕，爱宕，爱宕
1086	41182301	爱宕 神通 齐柏林伯爵
1087	39807764	爱宕 齐柏林
1088	60028401	爱宕，克利夫兰，神通
1089	42732959	爱宕、U47、凯旋
1090	42434736	克利夫兰，神通，U47
1091	60028409	莱比锡 神通 克利夫兰
1092	42726474	克爹 U47 神通
1093	23393700	爱宕<br/>齐柏林伯爵<br/>克利夫兰
1094	40575636	爱宕 神通 马拉尼
1095	39769563	莱比锡，克利夫兰
1096	42444280	马拉尼 克爹 爱宕
1097	42221517	克爹 莱比锡 神通
1098	33349075	爱宕<br/>克利夫兰<br/>齐柏林伯爵
1099	60005698	马拉尼<br/>文森斯
1100	41091369	爱宕，克利夫兰
1101	43264387	克爹，爱宕
1102	43313795	凯旋，克利夫兰，莱比锡
1103	42648221	克爹！zsbd
1104	60028413	u47 神通 克利夫兰
1105	19069230	凯旋<br/>克利夫兰
1106	41618493	爱宕 齐柏林 神通
1107	42730690	凯旋 克利夫兰
1108	43360223	爱宕 齐柏林
1109	42606594	克爹，爱大狗
1110	41403942	爱宕，莱比锡，克利夫兰
1111	39476264	神通<br/>齐柏林<br/>爱宕
1112	42430071	神通zsbd
1113	42297105	克爹 凯旋 神通
1114	41117433	爱宕 齐柏林 克利夫兰
1115	41469216	爱宕，神通，齐柏林[s:ac:goodjob]
1116	60028417	莱比锡 克利夫兰 爱宕
1117	8905186	神通ZSBD
1118	545871	爱宕，克爹，莱比锡
1119	42327549	爱宕，克利夫兰，齐柏林伯爵
1120	22997746	马拉尼，神通，莱比锡
1121	42285990	U47！克爹！齐柏林！
1122	42747183	爱宕 神通 克利夫兰
1123	1832857	爱宕<br/>埃克塞特
1124	60028427	莱比锡 神通 克利夫兰
1126	60102053	爱宕 爹
1128	40531681	克爹万岁！！！
1129	38252935	爱宕(每次扫黄都有你[s:ac:花痴])
1130	60118087	克爹，凯旋，齐柏林
1131	42778346	凯旋 克利夫兰 齐柏林伯爵
1132	40546169	克利夫兰 U47 神通
1133	38462789	神通 u47
1134	22040	神通，爱宕，凯旋
1135	34619180	爱宕，神通！
1136	5436982	神通 u47 爱大狗
1138	60163537	爱宕，齐柏林
1139	39532874	爱宕 神通 克爹
1140	3633923	爱宕 莱比锡 克利夫兰
1141	43054769	爱宕<br/>莱比锡<br/>神通
1142	546734	爱宕<br/><br/>神通<br/><br/>克利夫兰
1143	42819123	神通 马拉尼 爱宕
1145	42525585	克爹，饺子
1146	8314986	莱比锡 凯旋 神通
1147	41155737	爱宕，齐柏林
1148	42958537	爱宕<br/>克利夫兰<br/>埃塞克特
1149	38213076	克爹 爱宕
1150	38921483	爱宕 克利夫兰
1151	39782712	U47 zsbd
1152	41405649	爱宕  齐柏林  克爹
1153	38743796	爱宕  凯旋  克利夫兰
1154	14180079	爱宕 11111
1155	34830930	爱宕 神通 莱比锡
1156	42347710	齐柏林伯爵 U47 神通
1157	3214264	凯旋，克利夫兰，爱宕
1158	41621984	U47<br/>zsbd
1159	43143941	神通！<br/>awsl
1160	43145616	爱宕，克利夫兰，莱比锡
1161	37375905	克利夫兰 爱宕
1162	39663284	爱宕 神通 齐柏林
1163	42684946	爱宕 克利夫兰 齐柏林
1164	41605345	克爹zsbd
1166	6687583	爱宕，克爹，神通
1168	13593424	神通！
1169	3559709	爱宕<br/>莱比锡<br/>齐柏林伯爵
1170	43055072	克爹，神通
1171	39633752	爱宕 神通
1172	39868799	爱宕<br/>齐柏林伯爵<br/>克利夫兰
1173	27217871	爱宕，神通，马拉尼
1174	60261344	神通！！！
1175	42571887	47 神通 莱比锡
1176	38384200	莱比锡，克利夫兰，齐柏林伯爵
1177	42560546	克爹 神通
1178	39364895	克爹 神通 齐柏林
1179	43120711	爹 凯旋 马拉尼
1180	23895894	爱宕，神通
1181	60269197	马拉尼 1<br/>莱比锡 1<br/>文森斯 1
1182	42051857	单推齐柏林老婆[s:ac:goodjob][s:ac:goodjob]
1184	41526023	克利夫兰，齐柏林，u47
1185	42957023	齐柏林<br/>齐柏林<br/>齐柏林[s:ac:喘]
1186	34336246	大狗 神通 爹
1187	41302150	爱宕<br/>神通<br/>U47
1188	2442380	爱宕<br/>克利夫兰<br/>埃克塞特<br/><br/>[del]这组是死亡之组吧…[/del]
1189	41470686	爱宕 克利夫兰
1190	43176482	克利夫兰 爱宕
1191	13136967	齐柏林伯爵 神通 凯旋
1192	25705200	爱宕， u47，780
1193	34246017	爱宕 克利夫兰 神通
1194	41426224	克利夫兰 爱宕
1195	2360547	文森斯，莱比锡，克利夫兰
1196	27094065	爱宕 克爹 神通
1197	41776231	爱宕 克利夫兰
1198	42940742	单推克爹[s:ac:上]
1199	41349934	爱宕 齐柏林
1200	696915	齐柏林伯爵   神通   爱宕
1201	60131222	克爹 马拉尼 780
1202	41667045	爱宕 齐柏林
1203	4424283	爱宕<br/>凯旋
1204	42974162	莱比锡 克爹 U47
1205	2234105	神通，爱宕，克爹
1206	42190895	克爹 沙恩 爱大狗
1207	41645546	神通，克爹，爱宕
1208	4750961	神通<br/>齐柏林伯爵<br/>克利夫兰
1209	23317101	爱宕 克爹  神通
1210	60241755	爱宕 克爹 神通
1211	2217080	爱宕 齐柏林 克爹
1212	15887291	克利夫兰 爱宕
1213	3209476	爱宕！鱼鱼！克爹！
1214	38775957	大狗，埃克塞特
1215	18513719	齐柏林 沙恩霍斯特 克爹！！！
1216	42271183	爱宕，780
1217	505815	神通，克利夫兰，凯旋
1218	43283036	单投780
1219	42387136	爱宕 齐柏林 神通
1220	9449369	哇 这组有几位都很喜欢 不过和克爹一组只能抱歉了<br/><br/>单投克利夫兰
1221	39090596	文森斯字数补丁
1222	42784572	爱宕 齐伯林 神通
1223	41789092	爹，奶子，莱比锡
1224	526167	爱宕 !<br/><br/>神通<br/><br/>克利夫兰
1225	37310763	神通<br/>克利夫兰<br/>U47
1226	6543691	爱宕<br/><br/>zsbd
1227	42164489	780 <br/>爱宕
1228	41154730	爱宕，齐柏林，U47
1229	41562840	爱宕，齐柏林[s:ac:心]
1230	41326315	780<br/>克爹<br/>莱比锡
1231	40666493	爱宕 克爹 神通
1232	40531546	神通780克爹
1233	41607112	爱宕，神通，克利夫兰
1234	41525332	爱宕zsbd
1235	60148336	U47 克利夫兰 神通
1236	19425680	凯旋 克爹
1237	41764392	爱党 克爹 神通
1238	42157885	神通，爱宕，齐柏林伯爵
1239	41297390	凯旋 u47 克爹
1240	41785740	爱宕 克利夫兰 U47
